topic,category,prompt,quality_score,source
Imagine you have just discovered a,Creative Writing,Imagine you have just discovered a hidden room in your house. What treasures might you find inside?,0.38,ai_generated_prompts
What is a fun activity you,General,What is a fun activity you can do with your friends to create lasting memories?,0.33,ai_generated_prompts
kubernetes,Coding,kubernetes explanation,0.38,
What is something that you have,Education,What is something that you have always wanted to learn or explore further?,0.33,ai_generated_prompts
What is your opinion on the,General,What is your opinion on the impact of technology on human relationships?,0.38,ai_generated_prompts
"Imagine you are a time traveler,",Creative Writing,"Imagine you are a time traveler, what advice would you give to your younger self?",0.56,ai_generated_prompts
space exploration,Creative Writing,You are an expert in space exploration. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.96,
particle physics,Science,Walk me through particle physics step by step covering the basics and intermediate concepts.,0.63,
consciousness,Philosophy,"As a domain expert, explain consciousness thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.92,
What is the most significant invention,Creative Writing,What is the most significant invention in history and why do you think so?,0.41,ai_generated_prompts
What are some benefits and challenges,General,What are some benefits and challenges of remote work?,0.33,ai_generated_prompts
nanotechnology,Science,What is nanotechnology?,0.25,
What is one interesting fact about,Education,What is one interesting fact about space that you would like to learn about today?,0.36,ai_generated_prompts
What are some challenges faced by,Business,"What are some challenges faced by entrepreneurs when starting a business, and how can they overcome these challenges?",0.4399999999999999,ai_generated_prompts
What is a fun fact about,Education,What is a fun fact about a subject you're interested in or want to learn more about?,0.38,ai_generated_prompts
If you could travel back in,Creative Writing,"If you could travel back in time, what single moment in history would you like to experience firsthand and why?",0.49,ai_generated_prompts
What is a fun and creative,Creative Writing,What is a fun and creative way to spend an afternoon indoors?,0.33,ai_generated_prompts
What is the most memorable experience,General,"What is the most memorable experience you've had in your life, and why does it stand out to you?",0.4599999999999999,ai_generated_prompts
